,time,H,Qin,Qout,rain
0,10/25 10:00,72.0,18.0,18.0,0.0
1,10/25 10:15,72.0,18.0,18.0,0.0
2,10/25 10:30,72.0,18.0,18.0,0.0
3,10/25 10:45,72.0,18.0,18.0,0.0
4,10/25 11:00,72.0,18.0,18.0,0.0
5,10/25 11:15,72.0,18.0,18.0,0.0
6,10/25 11:30,72.0,18.0,18.0,0.0
7,10/25 11:45,72.0,18.0,18.0,0.0
8,10/25 12:00,72.0,18.0,18.0,0.0
9,10/25 12:15,72.0,18.0,18.0,0.0
10,10/25 12:30,72.0,18.0,18.0,0.0
11,10/25 12:45,72.0,18.0,18.0,0.0
12,10/25 13:00,72.0,18.0,18.0,0.0
13,10/25 13:15,72.0,18.0,18.0,0.0
14,10/25 13:30,72.0,18.0,18.0,0.0
15,10/25 13:45,72.0,18.0,18.0,0.0
16,10/25 14:00,72.0,18.0,18.0,0.0
17,10/25 14:15,72.0,18.0,18.0,0.0
18,10/25 14:30,72.0,18.0,18.0,0.0
19,10/25 14:45,72.0,18.0,18.0,0.0
20,10/25 15:00,72.0,18.0,18.0,0.0
21,10/25 15:15,72.0,18.0,18.0,0.0
22,10/25 15:30,72.0,18.0,18.0,0.0
23,10/25 15:45,72.0,18.0,18.0,0.0
24,10/25 16:00,72.0,18.0,18.0,0.0
25,10/25 16:15,72.0,18.0,18.0,0.0
26,10/25 16:30,72.0,18.0,18.0,0.0
27,10/25 16:45,72.0,18.0,18.0,0.0
28,10/25 17:00,72.0,18.0,18.0,0.0
29,10/25 17:15,72.0,18.0,18.0,0.0
30,10/25 17:30,72.0,18.0,18.0,0.0
31,10/25 17:45,72.0,18.0,18.0,0.0
32,10/25 18:00,72.0,18.0,18.0,0.0
33,10/25 18:15,72.0,18.0,18.0,0.0
34,10/25 18:30,72.0,18.0,18.0,0.0
35,10/25 18:45,72.0,18.0,18.0,0.0
36,10/25 19:00,72.0,18.0,18.0,0.0
37,10/25 19:15,72.0,18.0,18.0,0.0
38,10/25 19:30,72.0,18.0,18.0,0.0
39,10/25 19:45,72.0,18.0,18.0,0.0
40,10/25 20:00,72.0,18.0,18.0,0.0
41,10/25 20:15,72.0,18.0,18.0,0.0
42,10/25 20:30,72.0,18.0,18.0,0.0
43,10/25 20:45,72.0,18.0,18.0,0.0
44,10/25 21:00,72.0,18.0,18.0,0.0
45,10/25 21:15,72.0,18.0,18.0,0.0
46,10/25 21:30,72.0,18.0,18.0,0.0
47,10/25 21:45,72.0,18.0,18.0,0.0
48,10/25 22:00,72.0,18.0,18.0,0.0
49,10/25 22:15,72.0,18.0,18.0,0.0
50,10/25 22:30,72.0,18.0,18.0,0.0
51,10/25 22:45,72.0,18.0,18.0,0.0
52,10/25 23:00,72.0,18.0,18.0,0.0
